Semester,Dept, CourseCode, CourseTitle, Credits, L, T, P
3,BIE, ENME 206, Applied Thermodynamics and Heat Transfer,3,3,1,1.5
3,BIE, ENIE 203, Group Work and Presentation I,1,0,0,0
4,BIE, ENSH 252, Numerical Methods,3,3,1,3
4,BIE, ENEE 254, Electrical Machines,4,4,1,1.5
4,BIE, ENME 255, Fluid Mechanics and Machines,3,3,1,1.5
4,BIE, ENIE 252, Industrial Economics,3,3,1,0
4,BIE, ENIE 251, Metrology and Instrumentation,3,3,1,1.5
4,BIE, ENIE 253, Work Study and Human Factor Engineering,3,3,1,1.5
4,BIE, ENIE 254, Group Work and Presentation II,1,0,0,0
5,BIE, ENSH 304, Probability and Statistics,3,3,1,0
5,BIE, ENME 303, Theory of Machines and Mechanism,3,3,2,0
5,BIE, ENIE 301, Supply Chain Management,3,3,1,0
5,BIE, ENIE 302, Concurrent and Value Engineering,3,3,1,0
5,BIE, ENME 309, Energy Resources and Technology,3,3,1,1.5
5,BIE, ENIE 325-334, Elective I,3,3,2,1
5,BIE, ENIE 305, Group Work and Presentation III,1,0,0,0
6,BIE, ENIE 351, Enterpreneurship and New Venture,2,2,0,3
6,BIE, ENIE 352, Operation Research,3,3,1,1.5
6,BIE, ENIE 353, Machine Design,3,3,2,0
6,BIE, ENIE 354, Industrial Layout and Design,3,3,0,3
6,BIE, ENAM 353, Hydraulic and Pneumatic Systems,3,3,1,1.5
6,BIE, ENIE 356, Project I,2,0,0,0
6,BIE, ENIE 385-394, Elective II,3,3,2,1
7,BIE, ENIE 411, Industrial Law and Engineering Professional Practice,3,3,0,0
7,BIE, ENIE 412, Project Management,3,3,1,0
7,BIE, ENIE 413, Quality Control and Management,3,3,1,0
7,BIE, ENIE 414, Maintenance and Reliability Engineering,3,3,1,1.5
7,BIE, ENIE 435-444, Elective III,3,3,2,1
7,BIE, ENIE 445-449, Elective IV,3,3,2,1
7,BIE, ENIE 415, Project II,1,0,0,0
8,BIE, ENIE 461, Seminar Paper,2,0,0,0
8,BIE, ENIE 462, Internship,6,0,0,0
